time,user_name,user_color,message
9218,mariofan043,#FF4500,"Hi ZacMuffin"
9249,my_key_,#FF7F50,"i agree"
9253,my_key_,#FF7F50,"zac is a shill"
9264,my_key_,#FF7F50,"corporate shill zacmuffin"
9275,ondereh,#21D9D9,"gg"
9275,capalot161,#00FF00,"gg"
9279,mellovrotv,#FF69B4,"gg 󠀀"
9279,xx_420_blazit_xx,#FF0000,"gee gee"
9280,firmynator,#7C13FF,"gg"
9281,xknightrl,#FF0000,"gg"
9281,my_key_,#FF7F50,"down with the mods"
9285,violaguy32,#DAA520,"GG."
9291,szzliy,#1E90FF,"gg"
9297,ondereh,#21D9D9,"mikey for mod"
9361,staunch82,#DAA520,"gg"
9465,violaguy32,#DAA520,"It's good that the Ghost of Christmas Past didn't ruin your run!"
9476,my_key_,#FF7F50,"use that time to play counterstrike @scynor"
9486,my_key_,#FF7F50,"and battlefront"
9594,violaguy32,#DAA520,"How does the wildcard work?"
9640,anorakdt,#DFC80E,"yeah no chance anorak just qualifies normally"
9642,javster101,#9ACD32,"non-qualified runner with the fastest event time gets the last spot"
9729,javster101,#9ACD32,"we all care scynor"
