,,Rung 1,,,,Rung 2,,,,Rung 3,,,,Rung 4,,,,Rung 5,
,https://therun.gg/races/61kp,,,,https://therun.gg/races/ncqm,,,,https://therun.gg/races/zrfp,,,,https://therun.gg/races/m8ls,,,,https://therun.gg/races/vrov,,
,Herasmie,Wiisuper,Dragon,,Scynor,Anorak,Dimei,,Phantom,Lazer,Tfresh,,Coolisen,Revvylo,TwiceLyte,,Charzight,Flup,Anonymous
1-1,02:17.484,02:09.642,02:13.553,1-1,02:07.929,02:10.890,02:28.000,1-1,02:27.233,02:12.432,02:15.162,1-1,02:08.221,02:10.896,02:17.537,1-1,02:09.739,02:13.213,02:32.855
6-4,1:29:53.664,1:29:04.208,1:30:33.711,6-4,1:30:06.423,1:30:58.051,1:36:10.351,6-4,1:32:06.183,1:33:38.266,1:36:16.428,6-4,1:31:26.237,1:34:44.716,1:36:12.734,6-4,1:32:24.277,1:32:25.595,1:37:14.831
6-5,1:32:19.111,1:31:30.484,1:33:22.704,6-5,1:32:34.349,1:33:23.001,1:38:42.163,6-5,1:34:33.236,1:36:39.907,1:38:52.927,6-5,1:33:54.468,1:37:40.848,1:38:39.689,6-5,1:34:54.522,1:34:52.266,1:39:46.132
6-6,1:37:36.478,1:36:56.893,1:38:47.421,6-6,1:37:32.205,1:39:05.219,1:44:27.225,6-6,1:40:02.260,1:41:57.900,1:45:57.826,6-6,1:39:12.505,1:43:11.153,1:44:32.406,6-6,1:41:17.061,1:40:34.083,1:46:03.179
3-1,1:42:09.024,1:41:24.341,1:43:14.545,3-1,1:42:00.699,1:43:35.834,1:49:03.138,3-1,1:44:29.414,1:46:25.337,1:50:32.489,3-1,1:43:44.737,1:47:40.014,1:49:03.759,3-1,1:45:48.811,1:45:06.469,1:50:40.059
3-2,1:46:04.642,1:45:38.854,1:47:28.232,3-2,1:45:54.998,1:47:46.087,1:53:35.203,3-2,1:48:44.170,1:50:42.115,1:55:26.849,3-2,1:48:16.688,1:52:10.976,1:54:56.679,3-2,1:50:33.005,-,1:55:27.463
3-3,1:47:16.354,1:46:50.573,1:48:38.705,3-3,1:47:15.443,1:48:53.187,1:55:04.286,3-3,1:50:23.213,1:51:58.409,1:56:46.456,3-3,1:49:37.635,1:53:33.545,1:57:01.086,3-3,1:51:43.644,1:53:31.846,1:56:56.281
3-4,1:51:20.839,1:50:41.074,1:52:31.607,3-4,1:51:13.439,1:53:13.488,1:59:01.719,3-4,1:54:28.036,1:55:54.922,2:01:50.067,3-4,1:53:55.894,1:57:40.557,2:01:08.574,3-4,1:55:58.810,1:58:54.201,2:01:04.413
3-5,1:53:40.887,1:52:56.447,1:55:39.713,3-5,1:53:29.329,1:56:09.222,2:01:17.349,3-5,1:56:57.250,1:58:07.200,2:04:54.901,3-5,1:56:15.647,2:00:18.397,2:04:19.539,3-5,1:58:15.165,2:01:13.600,2:03:30.915
3-6,1:56:09.033,1:55:16.280,1:58:00.921,3-6,1:55:48.262,1:58:33.000,2:04:24.562,3-6,1:59:19.087,2:00:27.484,2:12:07.082,3-6,1:58:39.324,2:02:41.616,2:06:44.391,3-6,2:00:35.756,2:03:34.231,2:06:40.804
5-1,2:01:54.371,2:01:11.749,2:04:32.396,5-1,2:01:42.685,2:04:42.190,2:11:01.966,5-1,2:05:26.585,2:06:35.808,2:18:16.596,5-1,2:05:09.209,2:13:01.375,2:12:55.108,5-1,2:06:57.033,2:09:54.055,2:12:48.527
5-2,2:05:33.417,2:04:40.517,2:08:03.630,5-2,2:05:51.564,2:08:19.732,2:14:39.478,5-2,2:09:00.392,2:10:28.843,2:22:12.347,5-2,2:08:58.453,2:16:39.848,2:16:32.474,5-2,2:10:57.612,2:13:44.290,2:16:59.033
5-3,2:09:07.960,2:08:26.079,2:11:53.243,5-3,2:09:27.911,2:12:12.254,2:18:14.160,5-3,2:12:41.906,2:14:02.743,2:26:15.930,5-3,2:12:52.921,2:20:17.426,2:20:19.436,5-3,2:15:12.682,2:17:23.388,2:20:29.694
5-4,2:14:13.279,2:13:15.213,2:17:48.405,5-4,2:14:23.042,2:17:19.183,2:23:29.410,5-4,2:18:15.850,2:19:11.992,2:31:51.616,5-4,2:17:57.287,2:25:19.985,2:25:37.371,5-4,2:20:28.087,2:22:18.088,2:25:56.269
5-5,2:17:34.430,2:18:39.240,2:21:27.550,5-5,2:17:50.422,2:20:40.977,2:27:07.176,5-5,2:22:04.918,2:22:37.403,2:35:41.817,5-5,2:22:22.915,2:29:00.754,2:29:00.478,5-5,2:24:25.738,2:25:45.182,2:29:48.967
5-6,2:22:32.108,2:23:43.540,2:27:02.570,5-6,2:23:02.014,2:25:34.806,2:32:30.151,5-6,2:27:31.118,2:27:35.822,2:41:00.116,5-6,2:27:37.474,2:34:14.990,2:34:24.104,5-6,2:30:31.634,2:30:46.772,2:35:46.275
