,5/29/2024,Rung 1,,,5/27/2024,Rung 2,,,,Rung 3,,,,Rung 4,,,5/31/2024,Rung 5,,,,Rung 6,
,https://therun.gg/races/ccn6,,,,https://therun.gg/races/b8dq,,,,https://therun.gg/races/kxpc,,,,https://therun.gg/races/l636,,,,,,,,https://therun.gg/races/pz66,,
,FrostByte,Jared,Scynor,,Eroadhouse,WiiSuper,FlamingLazer,,ejpman,Herasmie,Jablaky,,DaHamster,flup,Charzight,,Revvylo,Garrison,TwiceLyte,,GildetPhantom,thenzota,Core
1-1,02:09.447,02:17.936,02:17.700,1-1,02:10.139,02:17.517,02:18.826,1-1,00:02:12.80679,02:21.538,02:17.835,1-1,,02:13.692,02:12.934,1-1,02:14.993,02:28.300,02:21.064,1-1,02:13.353,02:14.617,02:16.809
6-1,1:17:19.840,1:17:33.130,1:17:48.551,6-1,1:16:49.882,1:16:03.372,1:18:17.643,6-1,01:17:17.27764,1:19:53.602,1:22:16.016,6-1,,1:22:32.632,1:22:23.163,6-1,1:20:27.668,1:23:08.108,1:22:44.829,6-1,1:21:10.630,1:21:34.757,1:27:28.943
6-2,1:21:56.543,1:22:17.438,1:22:31.791,6-2,1:21:25.087,1:21:39.009,1:23:37.694,6-2,01:22:15.67060,1:24:55.620,1:27:23.956,6-2,,1:27:41.773,1:27:38.367,6-2,1:25:48.230,1:28:45.494,1:27:50.491,6-2,1:26:31.815,1:26:33.031,1:32:50.348
6-3,1:24:49.046,1:25:08.746,1:25:23.954,6-3,1:24:14.814,1:24:29.915,1:26:42.471,6-3,01:25:09.13964,1:27:49.516,1:30:16.076,6-3,,1:30:38.777,1:30:34.405,6-3,1:28:46.049,1:31:46.559,1:30:49.461,6-3,1:29:28.677,1:29:36.851,1:36:02.204
6-4,1:31:17.516,1:31:40.557,1:32:04.063,6-4,1:30:39.274,1:31:12.074,1:33:35.276,6-4,01:31:51.47532,1:34:26.606,1:37:16.792,6-4,,1:38:08.476,1:37:44.186,6-4,1:36:01.999,1:38:54.283,1:37:50.670,6-4,1:37:02.468,1:36:26.146,1:43:50.801
6-5,1:33:45.272,1:34:25.032,1:34:28.891,6-5,1:33:04.467,1:33:39.674,1:36:26.355,6-5,01:34:28.45771,1:36:57.098,1:39:44.351,6-5,,1:40:35.451,1:40:12.317,6-5,1:38:33.934,1:41:22.016,1:40:20.100,6-5,1:39:30.313,1:38:58.352,1:46:18.701
6-6,1:38:55.206,1:39:35.334,1:40:10.323,6-6,1:38:25.845,1:38:54.268,1:42:04.177,6-6,01:39:52.37415,1:42:51.917,1:44:57.475,6-6,,1:46:09.286,1:45:51.552,6-6,1:44:16.292,1:47:00.698,1:46:27.799,6-6,1:45:27.518,1:44:23.909,1:52:10.234
3-1,1:43:27.349,1:44:15.331,1:44:40.775,3-1,1:42:56.349,1:43:20.794,1:46:34.245,3-1,01:44:20.67639,1:47:22.284,1:49:30.134,3-1,,1:51:05.996,1:50:28.124,3-1,1:48:51.147,1:52:27.751,1:51:07.815,3-1,1:49:58.260,1:49:02.345,1:56:41.169
3-2,1:47:34.341,1:48:18.609,1:48:46.231,3-2,1:47:16.106,1:48:11.834,1:50:53.849,3-2,01:48:30.35267,1:51:48.489,1:54:18.545,3-2,,1:55:41.933,1:55:10.721,3-2,1:53:34.019,1:57:01.421,1:56:07.452,3-2,1:54:53.025,1:54:08.149,2:01:46.562
3-3,1:48:50.372,1:49:41.402,1:49:57.275,3-3,1:48:35.676,1:49:28.047,1:52:11.376,3-3,01:49:51.37853,1:53:34.134,1:55:32.998,3-3,,1:56:55.784,1:56:32.826,3-3,1:54:53.805,1:58:21.806,1:57:45.015,3-3,1:56:19.685,1:55:45.657,2:02:55.569
3-4,1:52:45.376,1:53:43.076,1:53:51.554,3-4,1:52:41.624,1:53:18.120,1:56:24.058,3-4,01:53:55.09534,1:58:17.134,1:59:44.285,3-4,,2:01:32.735,2:01:35.482,3-4,1:58:57.119,2:02:43.489,2:02:10.164,3-4,2:00:33.557,2:00:12.559,2:07:28.760
3-5,1:55:05.975,1:56:06.226,1:56:22.171,3-5,1:54:54.496,1:55:43.669,1:59:06.068,3-5,01:56:10.87036,2:01:10.958,2:02:07.616,3-5,,2:03:52.058,2:03:56.845,3-5,2:01:49.510,2:04:51.660,2:04:36.083,3-5,2:03:09.858,2:02:57.805,2:10:01.739
3-6,1:57:25.276,1:58:27.992,1:59:26.235,3-6,1:57:14.159,1:58:07.334,2:01:28.152,3-6,01:58:33.37269,2:03:37.433,2:04:49.410,3-6,,2:06:11.211,2:06:23.856,3-6,2:04:17.278,2:07:17.930,2:07:08.666,3-6,2:06:08.130,2:05:27.635,2:12:28.416
5-1,2:03:20.267,2:04:19.705,2:05:25.754,5-1,2:03:18.101,2:04:07.012,2:07:35.031,5-1,02:04:51.12002,2:09:59.306,2:11:00.123,5-1,,2:13:20.866,2:13:33.577,5-1,2:10:57.072,2:14:30.991,2:13:56.449,5-1,2:12:25.116,2:12:07.679,2:18:55.497
5-2,2:07:08.710,2:08:02.761,2:09:11.926,5-2,2:07:14.182,2:07:47.369,2:11:17.417,5-2,02:08:35.94581,2:14:01.894,2:15:18.266,5-2,,2:17:17.603,2:17:34.055,5-2,2:15:03.985,2:18:31.581,2:18:01.160,5-2,2:16:21.614,2:16:22.261,2:22:57.545
5-3,2:10:54.747,2:11:33.698,2:12:51.052,5-3,2:11:07.245,2:11:26.922,2:15:12.902,5-3,02:12:26.52318,2:17:43.574,2:19:08.902,5-3,,2:21:01.973,2:21:52.425,5-3,2:18:56.827,2:22:04.813,2:21:49.273,5-3,2:19:56.103,2:19:56.362,2:26:48.896
5-4,2:15:43.962,2:16:26.696,2:17:51.858,5-4,2:16:00.292,2:16:22.153,2:20:10.764,5-4,02:17:23.75603,2:22:51.736,2:24:23.761,5-4,,2:26:13.631,2:27:41.179,5-4,2:24:21.803,2:27:44.827,2:27:38.240,5-4,2:25:16.207,2:25:37.612,2:32:29.426
5-5,2:19:09.769,2:21:14.898,2:21:30.374,5-5,2:19:19.104,2:20:14.453,2:23:39.077,5-5,02:21:26.11267,2:26:13.667,2:27:55.719,5-5,,2:30:24.388,2:33:09.255,5-5,2:28:28.922,2:33:38.788,2:32:33.080,5-5,2:29:04.041,2:28:55.131,2:36:02.325
5-6,2:24:34.940,2:26:47.216,2:27:02.968,5-6,2:24:45.621,2:25:29.477,2:29:17.298,5-6,02:26:56.66199,2:31:42.144,2:33:35.084,5-6,,2:36:05.358,2:39:32.386,5-6,2:34:03.849,2:39:24.996,2:38:21.246,5-6,2:34:52.921,2:35:07.819,2:42:04.233
