,,Rung 1,,,,Rung 2,,,,Rung 3,,,,Rung 4,,,,Rung 5,,,,Rung 6,,,,Rung 7,
,https://therun.gg/races/fhdg,,,,https://therun.gg/races/ym4p,,,,https://therun.gg/races/ck55,,,,https://therun.gg/races/502g,,,,https://therun.gg/races/wdn0,,,,https://therun.gg/races/cccv,,,,https://therun.gg/races/4sce,,
,Ginger,Scynor,WiiSuper,,Jared,Frostbyte,Ejpman,,ERoadhouse,FlamingLazer,DaHamster,,Jablaky,Herasmie,Revvylo,,Flup,Charzight,Core,,Garrison,TwiceLyte,GildetPhantom,,thenzota,Nolan,Anorak
1-1,02:09.442,02:15.512,02:13.081,1-1,02:10.211,02:10.362,02:10.72887,1-1,02:11.939,02:13.994,02:09.522,1-1,02:13.855,02:26.105,02:19.433,1-1,02:18.896,02:30.642,02:33.529,1-1,,02:17.041,04:10.05394,1-1,02:19.834,02:34.562,02:11.871
1-2,05:00.575,05:01.175,05:08.328,1-2,04:57.509,05:41.996,04:53.92977,1-2,05:07.925,05:07.342,05:04.078,1-2,05:10.991,05:40.142,05:25.433,1-2,05:12.370,05:29.105,05:33.132,1-2,,05:18.545,07:23.64193,1-2,06:05.954,05:36.803,05:17.147
1-3,07:49.558,07:49.417,08:02.198,1-3,07:45.945,08:41.019,07:47.17007,1-3,07:56.836,07:58.975,07:53.123,1-3,08:05.418,08:34.891,08:20.569,1-3,08:03.246,08:27.745,08:32.088,1-3,,08:13.858,10:17.57153,1-3,08:57.486,08:33.091,08:14.392
1-4,11:39.812,11:38.468,12:39.893,1-4,11:33.633,12:30.630,11:39.53530,1-4,11:45.231,11:50.689,11:44.972,1-4,11:59.668,12:27.261,12:16.206,1-4,12:02.697,12:21.036,12:30.494,1-4,,12:53.664,15:04.35759,1-4,12:54.666,12:29.728,12:17.805
1-5,16:31.993,16:26.371,17:27.288,1-5,16:47.490,17:27.035,16:36.60400,1-5,16:35.994,16:47.312,17:01.566,1-5,16:50.692,17:31.299,17:23.302,1-5,17:36.052,17:25.013,18:03.651,1-5,,18:17.075,20:33.26102,1-5,18:13.560,18:07.388,17:47.018
1-6,20:33.048,20:42.328,21:28.560,1-6,20:44.016,21:52.052,20:52.65031,1-6,20:37.012,20:54.990,21:15.079,1-6,21:10.624,21:38.568,22:06.325,1-6,22:06.784,22:06.599,22:12.973,1-6,,22:35.876,24:46.35752,1-6,22:36.918,23:10.697,22:07.348
2-1,24:59.531,25:18.450,26:01.431,2-1,25:10.447,26:23.571,25:29.55596,2-1,25:05.835,25:47.304,25:49.010,2-1,25:55.180,26:22.463,26:54.610,2-1,27:11.687,26:42.145,26:47.596,2-1,,27:23.651,29:44.09861,2-1,27:28.925,28:06.941,27:00.451
2-2,29:55.583,30:47.126,30:53.398,2-2,29:59.436,31:20.108,30:49.46363,2-2,30:02.707,31:19.194,30:50.633,2-2,31:29.690,32:43.533,32:03.237,2-2,32:15.217,32:08.490,32:14.742,2-2,,33:03.135,34:51.33786,2-2,32:51.622,33:42.504,32:25.993
2-3,34:10.033,35:10.904,35:05.044,2-3,34:19.846,35:39.796,35:18.88245,2-3,34:23.271,35:47.159,35:15.048,2-3,35:55.489,37:02.718,36:39.274,2-3,37:05.599,36:31.859,36:46.817,2-3,,37:31.929,39:28.63578,2-3,37:17.466,38:25.583,37:04.065
2-4,37:40.140,38:29.691,38:37.007,2-4,37:42.476,39:12.483,38:41.76977,2-4,37:47.749,39:15.031,38:52.629,2-4,39:36.805,40:36.423,40:18.498,2-4,40:37.434,40:21.999,40:34.146,2-4,,41:07.975,43:14.72944,2-4,40:48.563,42:10.477,40:47.230
2-5,39:25.971,40:18.821,40:21.717,2-5,39:28.280,41:00.947,40:30.57918,2-5,39:34.451,41:20.158,41:27.197,2-5,41:26.811,42:29.975,42:26.792,2-5,42:45.737,42:20.217,42:47.187,2-5,,43:05.758,45:28.48325,2-5,42:53.856,44:18.170,43:03.096
2-6,41:46.634,42:41.541,42:49.662,2-6,41:48.760,43:29.102,42:56.35140,2-6,41:56.120,43:48.332,43:49.750,2-6,43:48.635,44:51.919,44:53.473,2-6,45:14.784,45:22.691,45:57.418,2-6,,45:35.719,47:54.94600,2-6,45:21.475,46:43.641,45:32.940
4-1,48:12.651,49:07.590,49:13.361,4-1,48:08.852,50:00.725,49:29.74751,4-1,48:14.637,50:13.116,50:33.818,4-1,50:13.823,51:28.888,51:33.955,4-1,51:50.459,51:59.990,52:33.840,4-1,,52:14.923,54:41.84901,4-1,51:59.253,53:30.857,52:23.522
4-2,53:10.256,54:05.004,54:48.711,4-2,53:03.423,55:18.999,54:48.92717,4-2,53:26.295,55:34.714,55:42.698,4-2,55:38.817,57:36.942,57:16.074,4-2,57:51.382,57:36.514,59:05.379,4-2,,57:56.882,1:00:59.94967,4-2,57:51.120,1:00:10.023,58:52.259
4-3,57:01.364,57:45.745,58:32.491,4-3,56:41.541,59:00.874,58:33.68575,4-3,57:07.008,59:30.720,59:40.289,4-3,59:38.326,1:02:35.528,1:02:53.098,4-3,1:01:48.407,1:01:33.444,1:03:04.405,4-3,,1:01:45.272,1:05:00.86477,4-3,1:01:47.092,1:04:12.348,1:02:58.712
4-4,1:01:10.197,1:01:39.962,1:02:37.064,4-4,1:00:36.517,1:03:03.720,1:02:42.02223,4-4,1:01:07.021,1:03:44.822,1:03:34.675,4-4,1:03:38.105,1:06:38.708,1:08:22.668,4-4,1:06:49.172,1:05:45.557,1:07:25.554,4-4,,1:06:02.050,1:09:17.29912,4-4,1:06:12.451,1:08:22.564,1:07:05.025
4-5,1:05:20.670,1:06:22.144,1:06:45.007,4-5,1:04:43.546,1:07:52.727,1:07:22.49385,4-5,1:05:46.912,1:07:55.846,1:08:00.154,4-5,1:07:56.230,1:11:05.192,1:13:05.488,4-5,1:12:08.228,1:10:11.225,1:11:47.157,4-5,,1:10:25.794,1:13:29.51082,4-5,1:11:13.576,1:13:32.063,1:11:57.890
4-6,1:09:48.673,1:10:51.017,1:11:30.964,4-6,1:09:33.773,1:12:18.346,1:11:54.44444,4-6,1:10:19.951,1:12:30.003,1:12:46.733,4-6,1:12:54.282,1:15:51.640,1:18:41.952,4-6,1:16:48.205,1:14:44.252,1:17:02.331,4-6,,1:15:23.413,1:18:40.29238,4-6,1:15:56.036,1:18:52.090,1:16:46.701
6-1,1:15:49.681,1:16:59.066,1:17:39.824,6-1,1:15:51.790,1:18:23.362,1:18:09.46792,6-1,1:16:14.202,1:18:59.334,1:19:44.293,6-1,1:19:31.970,1:22:12.552,1:25:01.091,6-1,1:23:15.990,1:21:13.681,1:24:35.896,6-1,,1:21:59.381,1:25:10.14390,6-1,1:22:26.254,1:25:56.162,1:23:32.244
6-2,1:20:47.670,1:21:53.547,1:22:28.006,6-2,1:21:34.056,1:23:18.160,1:23:05.42019,6-2,1:20:59.578,1:24:11.099,1:24:32.526,6-2,1:24:23.096,1:27:08.897,1:30:09.412,6-2,1:28:38.152,1:26:39.550,1:30:02.477,6-2,,1:29:24.715,1:30:27.98329,6-2,1:28:01.444,1:31:11.201,1:28:34.280
6-3,1:23:36.858,1:24:47.565,1:25:19.118,6-3,1:24:26.285,1:28:02.361,1:26:13.90167,6-3,1:23:49.161,1:27:17.254,1:27:28.509,6-3,1:27:15.530,1:30:01.889,1:33:03.143,6-3,1:31:38.373,1:29:52.365,1:33:00.682,6-3,,1:32:22.923,1:33:59.66038,6-3,1:31:04.512,1:34:16.902,1:31:55.919
6-4,1:30:19.948,1:31:24.337,1:32:11.084,6-4,1:30:56.764,1:34:46.184,1:32:56.13966,6-4,1:30:05.050,1:34:23.183,1:34:49.233,6-4,1:34:06.760,1:36:37.305,1:39:57.323,6-4,1:38:46.020,1:36:51.430,1:40:59.725,6-4,,1:39:08.824,1:50:10.94922,6-4,1:39:26.653,1:41:44.952,1:39:03.352
6-5,1:32:48.620,1:33:50.614,1:34:38.839,6-5,1:33:24.155,1:37:20.284,1:35:28.97487,6-5,1:32:30.217,1:36:56.984,1:37:16.498,6-5,1:36:31.855,1:39:05.252,1:42:34.464,6-5,1:41:13.816,1:39:21.950,1:43:40.947,6-5,,1:41:44.051,1:53:33.73546,6-5,1:41:54.276,1:45:16.779,1:41:37.242
6-6,1:38:04.922,1:38:55.716,1:39:54.199,6-6,1:38:45.491,1:42:42.809,1:40:55.08202,6-6,1:37:53.573,1:42:34.533,1:42:42.986,6-6,1:41:52.573,1:44:35.010,1:48:10.410,6-6,1:47:09.465,1:45:07.020,1:49:23.714,6-6,,1:47:39.173,1:59:14.03589,6-6,1:47:22.790,1:51:15.066,1:47:17.759
3-1,1:42:36.957,1:43:25.686,1:44:20.953,3-1,1:43:41.825,1:47:15.399,1:45:23.55037,3-1,1:42:21.455,1:47:40.893,1:47:15.347,3-1,1:46:28.202,1:49:09.789,1:53:15.606,3-1,1:51:39.111,1:49:45.783,1:54:00.560,3-1,,1:52:26.861,2:03:43.17850,3-1,1:52:00.883,1:55:51.068,1:51:56.637
3-2,1:46:45.595,1:47:36.115,1:49:15.258,3-2,1:47:47.209,1:51:56.828,1:50:02.34883,3-2,1:46:25.706,1:52:05.858,1:51:37.340,3-2,1:51:02.181,1:54:31.985,1:57:55.162,3-2,1:56:55.731,1:54:46.573,1:58:57.753,3-2,,1:57:22.351,2:09:12.97761,3-2,1:56:49.291,2:01:25.358,1:57:14.914
3-3,1:48:03.841,1:49:00.070,1:50:32.459,3-3,1:49:01.042,1:53:12.049,1:51:24.48901,3-3,1:47:34.304,1:53:22.219,1:53:10.702,3-3,1:52:15.393,1:56:08.372,1:59:17.442,3-3,1:58:17.109,1:56:02.499,2:00:14.553,3-3,,1:58:39.533,2:10:36.94634,3-3,1:58:11.151,2:02:49.269,1:58:46.990
3-4,1:51:51.320,1:53:03.508,1:54:18.351,3-4,1:53:01.329,1:57:04.909,1:55:28.69336,3-4,1:51:30.621,1:57:33.694,1:57:21.684,3-4,1:56:27.572,2:00:28.969,2:03:25.752,3-4,2:02:25.128,2:00:16.530,2:04:33.700,3-4,,2:02:51.723,2:14:59.39897,3-4,2:02:43.302,2:07:20.977,2:03:21.176
3-5,1:54:13.938,1:55:19.840,1:56:27.822,3-5,1:55:25.191,1:59:24.630,1:58:11.26243,3-5,1:53:42.173,1:59:47.437,1:59:43.943,3-5,1:58:44.274,2:03:03.999,2:05:43.004,3-5,2:04:50.215,2:02:42.014,2:07:09.931,3-5,,2:05:10.380,2:17:38.91451,3-5,2:05:17.007,2:10:27.218,2:06:09.328
3-6,1:56:37.916,1:57:43.233,1:59:03.416,3-6,1:57:46.536,2:01:52.165,2:00:34.58406,3-6,1:56:01.972,2:02:07.312,2:02:21.909,3-6,2:01:14.648,2:05:29.667,2:08:24.093,3-6,2:07:09.894,2:05:17.970,2:11:07.118,3-6,,2:07:40.267,2:20:32.20342,3-6,2:07:54.457,2:12:51.720,2:08:55.869
