,,Rung 1,,,,Rung 2,,,,Rung 3,,,,Rung 4,,,,Rung 5,,,,Rung 6,,,,Rung 7,
,https://therun.gg/races/fa7t,,,,https://therun.gg/races/fxwl,,,,https://therun.gg/races/uamq,,,,https://therun.gg/races/zw8h,,,,https://therun.gg/races/qidk,,,,https://therun.gg/races/io2m,,,,https://therun.gg/races/bchu,,
,Frost,Jared,WiiSuper,,Scynor,Herasmie,Anorak,,Dragon,Lazer,Dimei,,Revvylo,Flup,Coolisen,,Phantom,Tfresh,TwiceLyte,,Charzight,Kwazrr,Thenzota,,Anonymous,Biksel,GamerOlive
1-1,02:13.585,02:15.506,02:09.850,1-1,02:24.831,02:17.955,02:11.776,1-1,02:16.378,02:10.782,02:20.765,1-1,02:29.769,02:42.906,02:09.899,1-1,02:11.998,02:12.046,02:27.896,1-1,02:11.053,02:28.052,02:13.444,1-1,02:27.321,02:22.394,02:35.650
4-4,59:16.294,59:49.802,1:02:49.764,4-4,1:01:18.224,1:00:46.344,1:01:32.073,4-4,1:00:38.015,1:01:01.045,1:02:43.843,4-4,1:03:02.502,1:05:02.232,1:02:46.865,4-4,1:03:14.092,1:03:08.989,1:05:39.435,4-4,1:01:41.853,1:03:28.234,1:07:27.644,4-4,1:03:51.760,1:06:17.282,1:06:43.840
4-5,1:02:58.776,1:03:48.062,1:07:20.427,4-5,1:05:24.374,1:05:16.407,1:05:59.547,4-5,1:05:06.463,1:04:47.440,1:06:44.989,4-5,1:07:08.333,1:09:23.467,1:07:12.028,4-5,1:07:39.315,1:07:30.127,1:10:46.984,4-5,1:06:02.936,1:09:21.349,1:12:07.204,4-5,1:08:38.176,1:10:22.717,1:11:35.021
4-6,1:07:24.484,1:08:45.232,1:11:55.882,4-6,1:09:57.805,1:10:25.283,1:10:31.475,4-6,1:09:35.158,1:09:25.518,1:11:29.608,4-6,1:11:59.311,1:15:07.156,1:11:52.993,4-6,1:12:11.908,1:12:10.926,1:15:57.358,4-6,1:10:39.123,1:14:06.000,1:16:54.141,4-6,1:13:12.903,1:15:00.653,1:16:17.934
6-1,1:13:28.198,1:14:57.783,1:18:04.018,6-1,1:16:07.736,1:16:23.321,1:16:47.978,6-1,1:15:43.250,1:16:17.622,1:17:38.013,6-1,1:18:23.550,1:21:25.950,1:18:29.461,6-1,1:18:27.597,1:19:11.494,1:23:01.483,6-1,1:18:13.160,1:20:24.420,1:23:32.868,6-1,1:19:24.825,1:21:25.704,1:22:55.685
6-2,1:18:16.815,1:19:57.654,1:23:06.506,6-2,1:21:28.288,1:21:00.188,1:21:35.545,6-2,1:20:22.754,1:20:51.188,1:23:39.399,6-2,1:23:45.449,1:26:11.981,1:23:38.007,6-2,1:23:19.544,1:24:12.133,1:27:49.098,6-2,1:24:06.433,1:25:35.771,1:29:00.408,6-2,1:25:16.816,1:27:06.607,1:29:10.282
6-3,1:21:08.426,1:22:48.754,1:25:58.562,6-3,1:24:32.370,1:23:58.793,1:24:30.589,6-3,1:23:24.157,1:23:44.092,1:26:35.522,6-3,1:26:43.445,1:29:04.054,1:26:34.872,6-3,1:26:12.500,1:27:08.433,1:30:45.287,6-3,1:27:06.704,1:28:42.665,1:32:01.664,6-3,1:28:19.575,1:30:22.058,1:32:12.353
6-4,1:27:31.459,1:29:13.331,1:32:19.024,6-4,1:30:50.516,1:30:24.545,1:31:32.365,6-4,1:29:50.548,1:30:14.163,1:32:51.895,6-4,1:33:15.238,1:35:15.190,1:33:33.517,6-4,1:32:56.881,1:34:51.754,1:37:38.421,6-4,1:34:00.579,1:35:40.627,1:39:33.833,6-4,1:35:30.344,1:37:46.468,1:39:30.185
6-5,1:30:31.284,1:31:39.075,1:34:45.269,6-5,1:33:47.224,1:32:51.964,1:33:58.285,6-5,1:32:23.023,1:32:41.172,1:35:16.164,6-5,1:36:09.586,1:37:42.851,1:36:08.925,6-5,1:35:30.154,1:37:23.672,1:40:07.209,6-5,1:36:31.321,1:38:44.477,1:42:05.324,6-5,1:38:43.232,1:40:20.308,1:42:00.200
6-6,1:35:55.870,1:37:16.701,1:39:59.066,6-6,1:38:44.381,1:38:10.862,1:39:27.816,6-6,1:37:42.881,1:37:59.332,1:40:46.213,6-6,1:41:48.413,1:43:11.665,1:41:37.541,6-6,1:41:01.307,1:43:00.493,1:46:16.192,6-6,1:41:45.493,1:44:52.246,1:47:40.882,6-6,1:44:32.647,1:45:58.398,1:48:02.969
3-1,1:40:29.672,1:41:48.601,1:44:26.382,3-1,1:43:12.654,1:42:37.774,1:43:59.160,3-1,1:42:10.295,1:42:26.167,1:45:17.880,3-1,1:46:17.918,1:47:40.317,1:46:06.488,3-1,1:45:29.864,1:47:31.512,1:50:57.607,3-1,1:46:21.331,1:49:21.328,1:52:21.212,3-1,1:49:03.536,1:50:39.383,1:52:44.786
3-2,1:44:47.871,1:46:07.810,1:48:37.020,3-2,1:47:17.225,1:47:21.322,1:48:16.665,3-2,1:46:16.349,1:46:46.052,1:49:55.989,3-2,1:50:53.981,1:52:18.731,1:50:50.862,3-2,1:49:57.936,1:52:05.763,1:56:03.131,3-2,1:51:42.856,1:54:07.495,1:58:21.466,3-2,1:54:18.285,1:56:13.960,1:57:23.322
3-3,1:45:58.666,1:47:20.055,1:49:48.692,3-3,1:48:37.699,1:48:53.439,1:49:33.327,3-3,1:48:01.655,1:48:30.127,1:51:17.983,3-3,1:52:17.325,1:54:12.057,1:52:39.719,3-3,1:51:47.991,1:53:21.180,1:57:23.596,3-3,1:52:56.539,1:55:40.813,1:59:53.224,3-3,1:55:55.963,1:57:41.578,1:58:58.632
3-4,1:49:51.070,1:51:20.758,1:53:41.405,3-4,1:52:31.251,1:52:54.305,1:53:53.521,3-4,1:52:00.741,1:52:39.983,1:55:29.030,3-4,1:56:21.518,1:58:20.613,1:57:32.811,3-4,1:55:56.507,1:57:30.072,2:01:31.102,3-4,1:57:09.184,1:59:45.964,2:04:34.117,3-4,2:00:21.378,2:02:00.698,2:03:19.073
3-5,1:52:15.813,1:53:46.244,1:55:56.625,3-5,1:54:49.162,1:55:11.045,1:56:36.053,3-5,1:54:19.423,1:54:57.894,1:57:44.646,3-5,1:58:46.251,2:00:36.919,1:59:53.891,3-5,1:58:15.831,2:00:41.718,2:04:00.898,3-5,2:00:31.898,2:02:21.604,2:07:05.109,3-5,2:02:40.457,2:04:23.411,2:05:55.841
3-6,1:54:33.997,1:56:11.656,1:58:15.963,3-6,1:57:08.921,1:58:25.506,1:58:59.888,3-6,1:56:51.840,1:57:13.676,2:00:12.646,3-6,2:01:08.162,2:02:58.651,2:02:16.341,3-6,2:00:48.545, 2:03:15.911,2:06:24.214,3-6,2:03:02.643,2:04:49.350,2:09:44.672,3-6,2:05:11.636,2:06:48.780,2:08:24.731
5-1,2:00:27.703,2:02:04.124,2:04:19.144,5-1,2:03:12.969,2:04:24.439,2:05:14.785,5-1,2:03:13.899,2:03:22.120,2:06:48.035,5-1,2:07:41.790,2:09:20.396,2:09:00.035,5-1,2:06:53.623,2:09:55.013,2:12:59.824,5-1,2:09:41.369,2:11:10.244,2:17:46.619,5-1,2:11:36.731,2:12:50.050,2:15:08.360
5-2,2:03:55.112,2:05:32.713,2:07:52.693,5-2,2:06:56.133,2:07:58.794,2:08:59.613,5-2,2:06:44.734,2:07:12.006,2:10:36.371,5-2,2:11:39.901,2:13:07.018,2:12:37.080,5-2,2:10:24.911,2:13:32.076,2:16:40.760,5-2,2:13:54.946,2:16:37.674,2:21:57.981,5-2,2:15:51.783,2:16:25.682,2:19:22.398
5-3,2:07:22.162,2:09:04.770,2:11:29.001,5-3,2:10:52.822,2:11:33.815,2:12:30.925,5-3,2:10:27.154,2:11:17.191,2:14:12.683,5-3,2:15:19.251,2:17:13.390,2:16:42.963,5-3,2:14:15.580,2:17:16.282,2:20:19.633,5-3,2:17:54.520,2:20:22.975,2:25:42.436,5-3,2:19:29.338,2:20:03.613,2:23:07.515
5-4,2:12:07.891,2:13:54.082,2:16:17.016,5-4,2:16:01.859,2:16:43.419,2:18:00.072,5-4,2:15:19.775,2:16:17.458,2:19:20.289,5-4,2:20:27.502,2:22:15.155,2:21:48.233,5-4,2:19:20.581,2:22:27.714,2:25:45.961,5-4,2:23:13.103,2:26:05.973,2:31:17.541,5-4,2:24:57.033,2:25:20.234,2:28:49.089
5-5,2:15:16.426,2:17:19.490,2:19:43.198,5-5,2:19:25.656,2:20:14.303,2:21:23.772,5-5,2:18:31.920,2:19:45.456,2:22:33.235,5-5,2:24:30.791,2:25:38.419,2:25:11.933,5-5,2:23:50.417,2:27:18.338,2:29:31.380,5-5,2:26:46.707,2:29:47.464,2:35:26.455,5-5,2:28:56.180,2:29:52.566,2:32:53.725
5-6,2:20:24.843,2:22:56.552,2:24:54.258,5-6,2:24:58.945,2:25:45.582,2:26:56.637,5-6,2:23:34.376,2:24:53.578,2:29:11.552,5-6,2:31:19.654,2:31:35.973,2:31:37.177,5-6,2:29:27.144,2:33:23.846,2:36:27.161,5-6,2:33:50.574,2:37:07.643,2:41:19.506,5-6,2:35:09.898,2:35:37.062,2:39:02.289
