3-2,1:45:02.615,1:47:50.826,1:50:05.489,3-2,1:46:25.295,1:44:52.662,1:48:53.954,3-2,1:49:55.543,1:50:41.818,1:51:36.797,3-2,1:48:50.687,1:50:21.332,1:51:04.139,3-2,1:51:39.410,1:52:01.263,1:55:10.954,3-2,1:52:34.115,1:50:24.456,1:56:37.097
3-3,1:46:16.502,1:49:21.679,1:51:14.629,3-3,1:47:34.407,1:46:20.889,1:50:18.330,3-3,1:51:00.402,1:52:03.826,1:53:16.929,3-3,1:50:02.742,1:51:31.777,1:52:22.178,3-3,1:53:10.410,1:53:18.287,1:57:10.054,3-3,1:53:48.829,1:51:56.145,1:58:12.837
3-4,1:50:09.900,1:53:44.810,1:55:15.792,3-4,1:51:30.442,1:50:23.502,1:54:19.189,3-4,1:55:09.765,1:56:16.111,1:57:31.202,3-4,1:54:11.153,1:55:35.514,1:56:31.647,3-4,1:57:18.379,1:57:45.811,2:01:44.565,3-4,1:57:57.472,1:56:16.766,2:02:46.183
3-5,1:52:41.251,1:55:58.221,1:57:38.733,3-5,1:53:55.078,1:52:36.701,1:56:36.094,3-5,1:57:35.170,1:58:36.779,1:59:49.147,3-5,1:56:43.734,1:57:58.563,1:58:47.174,3-5,1:59:51.520,2:00:12.874,2:04:10.484,3-5,2:00:14.349,1:58:43.172,2:05:17.037
3-6,1:55:02.921,1:58:34.754,2:00:06.706,3-6,1:56:14.077,1:55:13.719,1:58:56.524,3-6,2:00:03.781,2:01:02.289,2:02:10.047,3-6,1:59:08.213,2:00:39.255,2:01:10.328,3-6,2:02:13.851,2:02:33.227,2:06:51.885,3-6,2:02:36.982,2:01:35.116,2:07:53.427
5-1,2:01:45.202,2:04:56.138,2:05:56.877,5-1,2:02:04.919,2:01:03.472,2:05:32.958,5-1,2:06:23.496,2:07:27.627,2:08:33.589,5-1,2:05:48.810,2:06:50.050,2:07:28.218,5-1,2:08:50.794,2:08:47.064,2:13:32.360,5-1,2:08:51.682,2:07:49.102,2:14:25.152
5-2,2:05:11.455,2:08:28.499,2:09:33.534,5-2,2:05:31.614,2:05:29.961,2:09:18.265,5-2,2:10:12.670,2:11:03.843,2:12:49.754,5-2,2:09:29.168,2:10:38.739,2:11:18.145,5-2,2:12:55.932,2:12:41.955,2:17:20.926,5-2,2:12:27.965,2:12:16.630,2:19:02.513
5-3,2:09:08.409,2:12:10.450,2:13:19.622,5-3,2:08:52.951,2:08:55.343,2:13:08.673,5-3,2:13:52.103,2:15:12.866,2:18:51.453,5-3,2:13:14.802,2:14:18.840,2:14:58.591,5-3,2:17:12.150,2:16:36.359,2:20:57.986,5-3,2:16:04.095,2:16:17.514,2:22:39.452
5-4,2:14:00.421,2:17:02.815,2:18:19.097,5-4,2:13:48.214,2:13:43.042,2:17:59.545,5-4,2:19:00.440,2:20:18.305,2:24:14.212,5-4,2:18:13.704,2:19:33.075,2:20:06.828,5-4,2:22:21.303,2:21:39.769,2:26:29.996,5-4,2:21:47.426,2:21:51.266,2:28:23.306
5-5,2:17:29.707,2:20:36.806,2:21:42.503,5-5,2:16:56.218,2:17:03.731,2:21:32.999,5-5,2:22:45.157,2:24:24.541,2:27:40.658,5-5,2:21:29.470,2:24:15.579,2:23:37.055,5-5,2:26:11.149,2:25:54.760,2:30:16.993,5-5,2:25:34.498,2:25:58.759,2:32:11.802
5-6,2:23:50.584,2:25:54.573,2:27:18.173,5-6,2:22:05.939,2:22:14.915,2:26:54.548,5-6,2:29:07.720,2:29:58.570,2:33:29.893,5-6,2:26:37.478,2:29:42.339,2:28:58.484,5-6,2:31:51.919,2:32:20.586,2:38:04.860,5-6,2:31:16.245,2:31:40.428,2:39:45.080
