,,Rung 1,,,,Rung 2,,,,Rung 3,,,,Rung 4,,,,Rung 5,,,,Rung 6,
,https://therun.gg/races/grni,,,,https://therun.gg/races/0slv,,,,https://therun.gg/races/sizo,,,,https://therun.gg/races/psrl,,,,https://therun.gg/races/2fr1,,,,https://therun.gg/races/ea1c,,
,Jared,Dragon,Scynor,,Wiisuper,Herasmie,Lazer,,Anorak,Phantom,Revvylo,,Dimei,Tfresh,flup,,Coolisen,Charzight,Anonymous,,TwiceLyte,Kwazrr,Thenzota
1-1,02:09.234,02:10.782,02:08.804,1-1,02:36.139,02:10.409,02:15.229,1-1,02:17.922,02:15.038,02:12.159,1-1,02:20.826,02:18.654,02:24.537,1-1,02:10.770,02:12.544,02:21.275,1-1,02:12.415,02:22.737,02:16.837
1-2,05:00.443,05:05.272,05:03.533,1-2,05:22.248,05:00.706,05:02.193,1-2,05:16.569,05:06.843,05:09.503,1-2,05:09.223,05:02.217,05:23.855,1-2,05:16.230,05:04.145,05:21.670,1-2,05:08.072,05:32.213,05:10.166
1-3,07:48.624,07:55.106,07:56.464,1-3,08:11.566,07:50.498,07:54.847,1-3,08:04.607,07:55.863,08:01.466,1-3,07:55.721,07:53.948,08:13.529,1-3,08:06.281,07:53.380,08:16.383,1-3,08:02.026,08:21.575,08:01.638
1-4,10:47.117,11:51.138,12:01.615,1-4,11:31.663,11:41.586,10:58.494,1-4,11:42.733,11:45.031,11:51.868,1-4,11:55.796,11:49.489,12:01.965,1-4,11:57.275,11:34.360,12:06.327,1-4,11:59.897,12:15.544,11:56.590
1-5,15:36.198,16:43.187,17:05.313,1-5,16:33.685,16:30.875,15:50.063,1-5,16:36.504,16:36.154,17:20.885,1-5,16:42.813,17:04.327,17:04.324,1-5,16:54.648,16:52.582,17:42.159,1-5,17:05.452,17:27.386,17:11.997
1-6,19:47.578,20:52.110,21:12.925,1-6,20:42.709,20:30.058,20:02.797,1-6,20:55.774,20:41.644,21:32.096,1-6,21:01.797,21:30.339,21:19.859,1-6,20:54.654,21:05.127,22:22.412,1-6,21:22.174,22:12.634,21:20.712
2-1,23:54.062,25:03.505,25:31.918,2-1,25:10.307,24:43.183,24:20.137,2-1,25:26.491,24:55.133,26:05.284,2-1,25:16.453,25:52.725,25:54.939,2-1,25:07.593,25:20.571,26:48.458,2-1,25:46.341,26:41.788,25:54.519
2-2,28:43.013,29:55.553,30:50.368,2-2,29:58.076,29:33.487,29:13.987,2-2,30:43.147,29:56.179,31:28.047,2-2,30:38.437,31:09.236,31:07.453,2-2,30:38.785,30:12.371,32:10.085,2-2,30:46.561,31:37.367,31:14.752
2-3,33:04.458,34:15.183,35:05.920,2-3,34:16.050,33:52.544,33:36.416,2-3,35:20.308,34:23.833,35:58.783,2-3,35:02.315,35:31.984,35:36.852,2-3,35:09.946,34:35.898,36:45.959,2-3,35:22.797,35:57.905,35:49.125
2-4,36:30.859,37:40.495,38:41.325,2-4,37:44.093,37:07.554,37:01.059,2-4,39:01.022,37:52.553,39:35.639,2-4,38:42.141,38:54.410,39:33.342,2-4,38:47.010,38:09.899,40:25.291,2-4,38:52.799,39:26.623,39:37.886
2-5,38:19.342,39:28.782,40:56.734,2-5,39:29.537,38:55.034,38:50.686,2-5,40:52.622,39:49.676,41:23.456,2-5,40:29.752,40:55.773,41:32.242,2-5,40:52.314,40:08.900,42:17.773,2-5,40:53.441,41:25.801,41:47.918
2-6,40:39.602,41:57.666,43:21.752,2-6,41:51.553,41:15.955,41:17.215,2-6,43:17.371,42:10.544,43:50.661,2-6,42:54.803,43:21.201,43:54.760,2-6,43:16.290,43:04.899,44:46.940,2-6,43:23.034,43:50.287,44:49.966
4-1,46:40.769,48:07.563,49:25.424,4-1,47:50.348,47:24.158,47:31.929,4-1,49:27.299,48:28.049,50:05.950,4-1,49:19.186,51:25.206,50:03.997,4-1,49:29.030,49:19.295,51:08.688,4-1,49:43.926,50:09.894,51:12.857
4-2,51:40.243,54:03.813,54:57.328,4-2,52:55.437,52:28.494,52:35.606,4-2,54:43.374,53:49.637,55:25.276,4-2,54:43.875,56:43.885,55:21.798,4-2,55:36.442,55:18.670,56:52.674,4-2,55:24.309,55:24.932,57:27.246
4-3,55:55.310,57:32.680,1:00:09.005,4-3,56:41.597,55:49.970,55:55.501,4-3,59:05.719,57:06.709,59:06.253,4-3,58:27.804,1:00:06.735,59:25.661,4-3,58:53.479,58:35.904,1:01:05.386,4-3,58:47.138,58:48.871,1:01:02.204
4-4,59:49.485,1:02:07.795,1:04:10.398,4-4,1:00:41.719,1:00:09.150,1:00:14.415,4-4,1:03:10.647,1:01:10.594,1:03:14.616,4-4,1:02:32.011,1:04:04.215,1:03:40.077,4-4,1:03:40.460,1:02:37.099,1:05:28.555,4-4,1:04:39.128,1:03:14.761,1:05:17.233
4-5,1:04:04.340,1:06:03.330,1:08:37.724,4-5,1:04:55.353,1:03:54.402,1:03:57.767,4-5,1:07:13.226,1:06:15.772,1:07:48.449,4-5,1:06:30.694,1:08:12.889,1:07:54.297,4-5,1:07:28.691,1:07:54.844,1:10:00.953,4-5,1:08:46.399,1:07:07.526,1:09:49.910
4-6,1:08:42.013,1:10:35.152,1:13:04.480,4-6,1:09:20.521,1:08:28.995,1:08:42.422,4-6,1:11:46.171,1:10:54.061,1:13:04.231,4-6,1:11:33.963,1:12:47.399,1:12:50.782,4-6,1:11:59.886,1:12:27.484,1:14:49.235,4-6,1:13:23.600,1:11:55.929,1:15:18.668
6-1,1:14:41.500,1:16:48.407,1:19:05.784,6-1,1:15:32.970,1:14:33.515,1:15:20.283,6-1,1:18:06.199,1:17:47.349,1:19:24.872,6-1,1:17:50.852,1:18:55.119,1:19:30.473,6-1,1:18:50.576,1:18:51.340,1:21:03.990,6-1,1:19:45.128,1:18:05.352,1:22:33.218
6-2,1:19:14.323,1:21:32.713,1:24:37.051,6-2,1:20:26.250,1:19:12.422,1:20:00.493,6-2,1:22:57.673,1:23:58.489,1:24:26.040,6-2,1:22:32.415,1:23:37.537,1:24:24.596,6-2,1:24:08.717,1:23:51.071,1:26:51.486,6-2,1:24:52.932,1:23:23.983,1:27:53.069
6-3,1:22:09.972,1:24:27.043,1:27:30.450,6-3,1:23:16.488,1:22:08.080,1:22:53.684,6-3,1:25:53.206,1:26:56.615,1:27:35.001,6-3,1:25:28.253,1:26:33.164,1:27:17.370,6-3,1:27:10.019,1:26:44.540,1:29:57.832,6-3,1:28:13.623,1:26:22.750,1:30:50.211
6-4,1:28:25.890,1:31:09.821,1:33:47.620,6-4,1:29:43.153,1:28:16.043,1:29:25.224,6-4,1:32:39.755,1:33:40.005,1:34:25.181,6-4,1:31:38.609,1:33:22.907,1:33:40.231,6-4,1:33:38.720,1:33:27.730,1:37:16.984,6-4,1:34:58.673,1:33:08.273,1:37:35.407
6-5,1:30:53.774,1:33:38.991,1:36:14.383,6-5,1:32:09.822,1:30:43.580,1:31:55.194,6-5,1:35:22.650,1:36:14.741,1:36:53.662,6-5,1:34:21.204,1:35:50.492,1:36:15.030,6-5,1:36:06.750,1:35:56.584,1:39:47.002,6-5,1:37:31.412,1:35:47.418,1:40:24.740
6-6,1:36:24.425,1:38:51.522,1:41:28.551,6-6,1:37:25.589,1:36:12.730,1:37:13.731,6-6,1:40:53.179,1:41:43.339,1:42:28.084,6-6,1:39:37.626,1:41:24.080,1:41:57.810,6-6,1:42:33.009,1:42:07.482,1:45:24.728,6-6,1:43:03.568,1:41:33.775,1:46:13.452
3-1,1:40:56.279,1:43:19.848,1:45:56.959,3-1,1:41:52.349,1:40:39.625,1:41:40.827,3-1,1:45:24.397,1:46:12.346,1:46:57.887,3-1,1:44:13.482,1:45:54.546,1:46:26.292,3-1,1:47:02.105,1:46:43.926,1:50:07.854,3-1,1:47:36.628,1:46:03.052,1:51:02.762
