time,user_name,user_color,message
11044,kwazrr_,#FF4500,"any zacdive?"
11046,thesadgebean,#FF0000,"i just hope all the runners have fun :)"
11049,yahootles,#DAA520,"@FrostxBytex my man"
11064,frostxbytex,#1E90FF,"I don’t think this works"
11072,szzliy,#FF69B4,"It's so over"
11092,nogamesensetv,#FF69B4,"olive did have that meltdown on box clip"
11094,javster101,#9ACD32,"we've reached the benny mirage"
11098,nogamesensetv,#FF69B4,"zacDive? that worked"
11099,force28_,#1BFFFF,"HOLY"
11100,meggitz208,#9F3877,"OLIVIEE"
11101,frostxbytex,#1E90FF,"LMAOOO"
11101,anorakdt,#DFC80E,"PARADE"
11104,thesadgebean,#FF0000,"waow"
11106,0dronzer,,"holy shit"
11107,firmynator,#7C13FF,"CINEMA"
11107,meggitz208,#9F3877,"BRO"
11109,chesterthemouse2,#1E90FF,"yooooo insane"
11112,kwazrr_,#FF4500,"HOLY"
11123,chesterthemouse2,#1E90FF,"lets see this gtf trust"
11124,meggitz208,#9F3877,"three civilians is crazy"
11134,meggitz208,#9F3877,"olive out of his mind"
11139,eruonen,#0000FF,"Never, never, never give up"
11140,anorakdt,#DFC80E,"lap 2 backwards is the new meta"
11143,jake105411,#008000,"!bracket"
11143,nightbot,#7C7CE1,"View the bracket here: https://docs.google.com/spreadsheets/d/1aw1PAYWkjjj5oZSwaHdP-MnY0472wjWqDpyinL9v4r0"
11162,biksel,#00ADCC,"😭"
11163,nolanhead,#FF69B4,"kiss Pog"
11163,anorakdt,#DFC80E,"CINEMA"
11164,meggitz208,#9F3877,"swag"
11165,nolanhead,#FF69B4,"based"
11166,frostxbytex,#1E90FF,"lfrost classic"
11166,0dronzer,,"BRO"
11168,revvylo,#B2D400,"ICANT"
11177,kwazrr_,#FF4500,"ts too close"
11185,nogamesensetv,#FF69B4,"Dude"
11187,frostxbytex,#1E90FF,"no one talking about chroma on dv3 for like 3 minutes"
11194,anorakdt,#DFC80E,"@FrostxBytex shhhhh"
11200,javster101,#9ACD32,"AD NOOOO"
11203,chroma_q,#FF0000,"shhhhhhhh"
11203,frostxbytex,#1E90FF,"can someone gift me"
11204,0dronzer,,"chroma got the evil jump"
11205,kwazrr_,#FF4500,"Adge lmao"
11207,chesterthemouse2,#1E90FF,"thanks ads"
11207,thesadgebean,#FF0000,"same"
11207,firmynator,#7C13FF,"ADGE"
11208,coolestto,#B56BFF,"the timing"
11210,meggitz208,#9F3877,"ad griefing"
11212,nogamesensetv,#FF69B4,"omg lets go"
11213,force28_,#1BFFFF,"CINEMA"
11215,meggitz208,#9F3877,"someone tell me"
11218,nogamesensetv,#FF69B4,"its actually cinema"
11218,quack2back,#FF69B4,"Quack2Back gifted a Tier 1 sub to FrostxBytex! They have given 2 Gift Subs in the channel! "
11219,meggitz208,#9F3877,"DID HE DO IT"
11224,frostxbytex,#1E90FF,"thanks man"
11228,biksel,#00ADCC,"@meggitz208 got box clip 1st try"
11232,force28_,#1BFFFF,"@meggitz208 first try box clip for olive"
11236,meggitz208,#9F3877,"GOAT"
11241,quack2back,#FF69B4,"eroadhT eroadhT"
11258,chesterthemouse2,#1E90FF,"olives comeback arc has been insane"
11258,charzight,#00D8FF,"Olive with the 6-1 barca v psg comeback"
11258,0dronzer,,"omg"
11270,chesswiz,#DAA520,"gg"
11272,saber1658,#DAA520,"gg"
11272,biksel,#00ADCC,"gg"
11273,thesadgebean,#FF0000,"gg"
11274,force28_,#1BFFFF,"gg"
11274,meggitz208,#9F3877,"gg"
11274,chesterthemouse2,#1E90FF,"gg"
11274,0dronzer,,"gg"
11275,yahootles,#DAA520,"gg"
11276,nogamesensetv,#FF69B4,"gg"
11276,7_isanumber,#FF69B4,"gg"
11277,eruonen,#0000FF,"gg"
11277,frostxbytex,#1E90FF,"gg"
11277,firmynator,#7C13FF,"gg benny"
11279,nolanhead,#FF69B4,"gg"
11279,szzliy,#FF69B4,"gg"
11280,flaming_lazer,#8A2BE2,"gg"
11281,ananonymoussource,#1E90FF,"gg benjamin moon"
11281,kwazrr_,#FF4500,"gg"
11284,coolestto,#B56BFF,"gg"
11288,biksel,#00ADCC,"NAILS"
11296,mariofan043,#FF4500,"Gg to Benny"
11301,ripplinger_1124,,"gg"
11303,revvylo,#B2D400,"ggs"
11305,saber1658,#DAA520,"gg"
11307,frostxbytex,#1E90FF,"idk"
11311,ethanmagicbrown,#D0A80B,"how in the world is gamer olive still in this after that pod"
11311,anorakdt,#DFC80E,"gg"
11312,flaming_lazer,#8A2BE2,"gg"
11318,kwazrr_,#FF4500,"gg"
11318,nolanhead,#FF69B4,"gg"
11318,force28_,#1BFFFF,"gg"
11319,7_isanumber,#FF69B4,"gg"
11320,meggitz208,#9F3877,"gg"
11321,nogamesensetv,#FF69B4,"GG"
11321,chesswiz,#DAA520,"gg 󠀀"
11321,biksel,#00ADCC,"gg"
11321,thesadgebean,#FF0000,"gg"
11321,yahootles,#DAA520,"gg"
11321,staunch82,#DAA520,"gg"
11323,nogamesensetv,#FF69B4,"WOW"
11323,javster101,#9ACD32,"gg"
11324,frostxbytex,#1E90FF,"gg"
11324,force28_,#1BFFFF,"HOLY"
11326,dougdimmadayum,#5F9EA0,"gg"
11326,frostxbytex,#1E90FF,"insane"
11326,ananonymoussource,#1E90FF,"gg"
11326,brickofett,#00C446,"gg"
11326,0dronzer,,"GG"
11327,szzliy,#FF69B4,"GG"
11327,notdavirm,#00FF7F,"gg"
11327,chesterthemouse2,#1E90FF,"nfw yoooo"
11328,firmynator,#7C13FF,"lfgggg"
11328,coolestto,#B56BFF,"GG"
11329,thesadgebean,#FF0000,"holy shit dude"
11329,bennymoon129,,"ggs"
11330,cragon76,,"yesssssss"
11331,charzight,#00D8FF,"gg"
11332,kwazrr_,#FF4500,"wtf"
11333,cragon76,,"holy shitt"
11333,nogamesensetv,#FF69B4,"WOWOWOWOW"
11333,meggitz208,#9F3877,"MY GOAT"
11334,chesterthemouse2,#1E90FF,"huge gggs olive"
11334,eruonen,#0000FF,"oooooooooooooooooo"
11335,cragon76,,"wtffff"
11336,szzliy,#FF69B4,"Insane"
11337,0dronzer,,"lets gooooooooooo"
11338,mariofan043,#FF4500,"WOW, GGS OLIVE"
11338,meggitz208,#9F3877,"WHAT A RUN"
11339,zombiekill212,,"wowww"
11339,yahootles,#DAA520,"god damn"
11340,violaguy32,#DAA520,"gg"
11341,firmynator,#7C13FF,"let’s gooooo olive"
11343,cragon76,,"there’s no wayy"
11346,frostxbytex,#1E90FF,"that’s nutty man"
11348,anorakdt,#DFC80E,"wrap up the tourney, best race has been done already"
11354,nogamesensetv,#FF69B4,"im so sad benny is out"
11355,javster101,#9ACD32,"olive deserves it good lord"
11357,meggitz208,#9F3877,"that’s amazing"
11367,eruonen,#0000FF,"Did they both PB?"
11375,nogamesensetv,#FF69B4,"dont think thats a pb for olive"
11376,biksel,#00ADCC,"✋😐✋ great writing"
11381,thesadgebean,#FF0000,"I believe olive got a new pb recently"
11388,firmynator,#7C13FF,"CINEMA"
11389,kwazrr_,#FF4500,"like I said it aint over till its over"
11391,meggitz208,#9F3877,"olives been grinding for sure"
11393,dougdimmadayum,#5F9EA0,"legends"
11403,kwazrr_,#FF4500,"gg"
11405,force28_,#1BFFFF,"GG"
11406,biksel,#00ADCC,"gg"
11408,0dronzer,,"gg"
11408,szzliy,#FF69B4,"gg"
11409,cragon76,,"gg"
11409,mariofan043,#FF4500,"Ggs"
11409,nogamesensetv,#FF69B4,"wait hes actually playing it up for the camera"
11413,saber1658,#DAA520,"gg"
11413,firmynator,#7C13FF,"gg"
11414,7_isanumber,#FF69B4,"gg"
11417,eruonen,#0000FF,"gg"
11419,chesswiz,#DAA520,"gg"
11419,thesadgebean,#FF0000,"gg appleman"
11422,violaguy32,#DAA520,"gg"
11425,quack2back,#FF69B4,"ggs"
11433,yungchike,,"free chromaq. hes the peoples champ"
11436,gamer_olive,#008000,"HELLLOO????????????"
11441,force28_,#1BFFFF,"GOAT"
11441,nogamesensetv,#FF69B4,"LETS GO OLIVE"
11442,gamer_olive,#008000,"13 SECONDS????????"
11449,chesterthemouse2,#1E90FF,"ggs olive that was crazy"
11455,anorakdt,#DFC80E,"@Gamer_Olive LFG gg"
11458,meggitz208,#9F3877,"“unscripted”"
11460,frostxbytex,#1E90FF,"unscripted my ass"
11463,derfbergur,#BE00CB,"@crazy_crabby_jr NOT TALKING SO BIG ANYMORE HUH"
11465,kwazrr_,#FF4500,"olive you legend"
11467,gamer_olive,#008000,"JUST SO YOU KNOW I DID NOT LOOK AT THE RACE AT ALLL"
11469,gamer_olive,#008000,"FHADKJAFHLKAJFKLA"
11476,meggitz208,#9F3877,"GOOD FOR YOU"
11480,frostxbytex,#1E90FF,"I love kissing leia"
11480,thdarkn3ss,,"GGs"
11483,charzight,#00D8FF,"MUNFUCKING GOAT"
11484,gamer_olive,#008000,"GG BENNYMOON YOURE ACTUALLY INSANE"
11485,firmynator,#7C13FF,"crabby jr been real quiet"
11486,kwazrr_,#FF4500,"def rewatch the vod olive"
11488,frostxbytex,#1E90FF,"shoutout to 2:23:03"
11489,violaguy32,#DAA520,"💋"
11491,nogamesensetv,#FF69B4,"bennymoon was different"
11493,mariofan043,#FF4500,"Good Job Olive I'm proud of you :)"
11499,coolestto,#B56BFF,"@firmynator in shambles"
11506,gamer_olive,#008000,"I HAVE NO IDEA HOW THE OTHER RUNNERS WENT"
11508,ethanmagicbrown,#D0A80B,"imagine if you reset in god fraud"
11508,kwazrr_,#FF4500,"benny swag master"
11513,thesadgebean,#FF0000,"congrats olive"
11517,gamer_olive,#008000,"13 FUCKING SECONDS IM GONNA LOSE IT"
11521,javster101,#9ACD32,"huge win olive"
11526,ethanmagicbrown,#D0A80B,"huge congrats olive i had you written off ep 1"
11535,ethanmagicbrown,#D0A80B,"and you win the whole thing"
11535,0dronzer,,"watch as chroma gets 2:30:15"
11540,chesterthemouse2,#1E90FF,"ggs olive that comeback arc went tough"
11546,gamer_olive,#008000,"I COULD HAVE JUST HAD A WORSE DV3"
11558,anorakdt,#DFC80E,"yeah its not over, chroma might have 10 minutes of loads"
11567,cragon76,,"real"
11569,ananonymoussource,#1E90FF,"he pretty much does"
11571,javster101,#9ACD32,"yeah chroma on track for a 2:30"
11577,nogamesensetv,#FF69B4,"lol"
11579,chesterthemouse2,#1E90FF,"chroma with the 2:17 out of nowhere"
11585,eruonen,#0000FF,"Never give up"
11585,colten8_,,"holy shit what a race"
11587,cragon76,,"i was almost falling asleep but can’t with this"
11589,virtualflup,#8A2BE2,"lmao"
11600,gamer_olive,#008000,"I NEED TO WATCH THIS BACK I HAVE NO CONTEXT ON WHAT THE OTHER RUNNERS DID"
11609,gamer_olive,#008000,"YES I WOULD LOVE AN INTERVIEW"
11616,the_pearman_,,"2pm"
11617,gamer_olive,#008000,"it is 1:30pm its so fine"
11618,the_pearman_,,"chillin"
11623,0dronzer,,"i need to see the vod later i feel like i missed a lot"
11628,anorakdt,#DFC80E,"@Gamer_Olive they all hit god fraud, you made up that timeloss very well"
11629,kwazrr_,#FF4500,"olive you were behind until dagobuh, clutch"
11631,the_pearman_,,"holy the south aus time zone in the wild"
11634,frostxbytex,#1E90FF,"kallyGreen olive believers"
11634,anorakdt,#DFC80E,"NOT GOD FRAUD WAIT"
11641,anorakdt,#DFC80E,"pod fraud"
11643,biksel,#00ADCC,"@AnorakDT WHAT"
11649,anorakdt,#DFC80E,"WHAT"
11651,dahamster1,#1E90FF,"jared levels"
11652,flaming_lazer,#8A2BE2,"WHAT"
11656,the_pearman_,,"WHAT"
11658,dahamster1,#1E90FF,"WHAT"
11659,cragon76,,"they all actually got sub 3 podrace"
11668,kwazrr_,#FF4500,"gg"
11669,nogamesensetv,#FF69B4,"GG"
11669,0dronzer,,"i know what pod fraud is, what is god fraud"
11672,frostxbytex,#1E90FF,"gg"
11672,yahootles,#DAA520,"gg"
11673,cragon76,,"gg"
11674,0dronzer,,"gg"
11674,7_isanumber,#FF69B4,"gg"
11676,szzliy,#FF69B4,"gg"
11678,brickofett,#00C446,"gg"
11679,eruonen,#0000FF,"gg"
11680,chesswiz,#DAA520,"gg 󠀀"
11681,mariofan043,#FF4500,"Gg Chroma"
11681,notdavirm,#00FF7F,"gg"
11681,firmynator,#7C13FF,"gg"
11682,thdarkn3ss,,"gg"
11683,chesterthemouse2,#1E90FF,"gg"
11684,bennymoon129,,"I’m kinda glad I didn’t move on cause I dont think my heart to take anything closer than that"
11692,frostxbytex,#1E90FF,"great first race"
11693,nogamesensetv,#FF69B4,"you were insane benny"
11694,derfbergur,#BE00CB,"gg"
