time,user_name,user_color,message
9077,nogamesensetv,#FF69B4,"so true"
9080,nogamesensetv,#FF69B4,"frost is the goat"
9090,nogamesensetv,#FF69B4,"frostx4OhNo"
9094,eruonen,#0000FF,"boom"
9099,lunaraes_,#0000FF,"BOOM"
9103,chroma_q,#FF0000,"BOOM"
9103,bennymoon129,,"BOOM"
9104,chesterthemouse2,#1E90FF,"BOOM"
9105,0dronzer,#5F9EA0,"BOOM"
9106,7_isanumber,#FF69B4,"BOOM"
9107,biksel,#00ADCC,"BOOOM"
9108,the_appleman_,#9ACD32,"BOOM"
9109,nolanhead,#FF69B4,"boom"
9110,nogamesensetv,#FF69B4,"BOOOM"
9113,garrisonlarrison,#0000FF,"doom"
9114,nogamesensetv,#FF69B4,"ok nolan"
9115,nogamesensetv,#FF69B4,"please man"
