time,user_name,user_color,message
1662,yahootles,#DAA520,"didnt want audio anyways"
1663,bennymoon129,,"I think I had to do theed oob with anakin a few times"
1665,tfresh2000,#8A2BE2,"ah"
1672,chesterthemouse2,#1E90FF,"audio is so cringe tbh"
1732,tfresh2000,#8A2BE2,"my guess is whoever has the fastest kamino will win"
1748,chesterthemouse2,#1E90FF,"its not the end until its ended"
1817,0dronzer,#5F9EA0,"this is so scary"
1847,tfresh2000,#8A2BE2,"nolan will go 2 for 2"
1904,nolanhead,#FF69B4,"techically i did tfresh"
1911,tfresh2000,#8A2BE2,"chimkiCool"
1916,0dronzer,#5F9EA0,"what was that sound"
1927,tfresh2000,#8A2BE2,"nothing to worry about"
1928,notek0,#0000FF,"you definitely did"
1948,tfresh2000,#8A2BE2,"javster having a little moment"
1999,nolanhead,#FF69B4,"audio bhack pog"
2027,0dronzer,#5F9EA0,"zam veisell"
2047,notek0,#0000FF,"zam diesel"
2070,chesterthemouse2,#1E90FF,"zam weezer"
2166,bennymoon129,,"strategic death from yahootles last room?"
2226,nolanhead,#FF69B4,"chat should i first try kbs"
2237,tfresh2000,#8A2BE2,"no"
2244,chesterthemouse2,#1E90FF,"nolan 20 gifted if you hit gtf trust"
2244,eruonen,#0000FF,"yes"
2248,nolanhead,#FF69B4,"how hard can it be"
2250,0dronzer,#5F9EA0,"1 MINUTE AD :("
2256,tfresh2000,#8A2BE2,"get it 3rd so they don’t think you’re giving it your all"
2264,tfresh2000,#8A2BE2,"then you come back in ep 5"
2297,nogamesensetv,#FF69B4,"bro sounds like mr incredible telling dash to get 2nd in the 200m dash"
2314,chesterthemouse2,#1E90FF,"^"
2326,0dronzer,#5F9EA0,"why are twitch ads so long bro"
2370,bennymoon129,,"I forget, did olive go for it yesterday?"
2377,chesterthemouse2,#1E90FF,"i dont think so"
2386,nogamesensetv,#FF69B4,"pretty sure no"
2420,0dronzer,#5F9EA0,"what did i miss the ad was like 6 hours long"
2420,chesterthemouse2,#1E90FF,"well he didnt go for it this time so probably not"
2426,0dronzer,#5F9EA0,"nolan's winning"
2805,tfresh2000,#8A2BE2,"I mean you could crash"
2816,notek0,#0000FF,"even the powerup… can this man be stopped?"
2821,chesterthemouse2,#1E90FF,"hardlocking is worse"
2847,bennymoon129,,"dvt room in cct is horrible"
2881,bennymoon129,,"it’s like really hard to look like with bloom on"
3058,nolanhead,#FF69B4,"i dont know any seeds"
3061,nolanhead,#FF69B4,"i take the rng like a man"
3079,chesterthemouse2,#1E90FF,"whats everyones fav seed?"
3083,tfresh2000,#8A2BE2,"nolan did not reset on ep 1 did he?"
3093,catnamedpoptart24,#8A2BE2,"Il like pumpkin"
3098,tfresh2000,#8A2BE2,"that was not a possible see that he just got"
3100,tfresh2000,#8A2BE2,"I was gonna say"
3105,frostxbytex,#1E90FF,"10 raiders from FrostxBytex have joined! "
3107,tfresh2000,#8A2BE2,"he killed like 4 droids"
3109,frostxbytex,#1E90FF,"epic"
3115,tfresh2000,#8A2BE2,"that one on the far left is impossible to have"
3146,bennymoon129,,"i could’ve sworn they all reset, olives just took longer to appear"
3189,0dronzer,#5F9EA0,"yeah"
3193,flaming_lazer,#8A2BE2,"double keyboard gunship buff"
3207,chesterthemouse2,#1E90FF,"nolan is NOT locked in"
3212,0dronzer,#5F9EA0,"nolan nooooo"
3247,charzight,#00D8FF,"oh we have a race"
3264,bennymoon129,,"is there a way to see who you picked for predictions?"
3275,tfresh2000,#8A2BE2,"memory"
3283,biksel,#00ADCC,"the standings sheet has the playin picks"
3290,biksel,#00ADCC,"!predictions"
3290,nightbot,#7C7CE1,"View the prediction standings on the 'prediction standings' page here: https://docs.google.com/spreadsheets/d/1aw1PAYWkjjj5oZSwaHdP-MnY0472wjWqDpyinL9v4r0/edit?usp=sharing"
3312,biksel,#00ADCC,"@Biksel and week1*"
3319,nolanhead,#FF69B4,"i resrt ep1"
3333,chroma_q,#FF0000,":("
3360,flaming_lazer,#8A2BE2,"Nolan bro are you thinking during every transition"
3369,biksel,#00ADCC,"@Flaming_Lazer 💀"
3387,tfresh2000,#8A2BE2,"nolan lock in"
3396,tfresh2000,#8A2BE2,"just focus on playing the game"
3436,0dronzer,#5F9EA0,"nolan's gonna reveal some brand new skip and save like 2 minutes"
3461,bennymoon129,,"he’s gonna find a warp to 5-6 end platform"
3484,nolanhead,#FF69B4,"sorry guys my braless gf keeps walking in"
3493,nogamesensetv,#FF69B4,"?"
3497,catnamedpoptart24,#8A2BE2,"lmao"
3499,biksel,#00ADCC,"sure buddy"
3500,chesterthemouse2,#1E90FF,"real"
3506,frostxbytex,#1E90FF,"what"
3509,nogamesensetv,#FF69B4,"so chad"
3516,lunaraes_,#0000FF,"what"
3572,chesterthemouse2,#1E90FF,"damage bosting"
3589,tfresh2000,#8A2BE2,"That’s fair nolan"
3595,tfresh2000,#8A2BE2,"that would distract me too"
3602,tfresh2000,#8A2BE2,"this is why I don’t live with women"
3606,tfresh2000,#8A2BE2,"distraction free"
3622,chesterthemouse2,#1E90FF,"wouldnt distract me, im too locked in on 5-7"
3638,frostxbytex,#1E90FF,"yeah thats why tfresh"
3639,catnamedpoptart24,#8A2BE2,"just turn gay while you play"
3646,chesterthemouse2,#1E90FF,"^"
3648,tfresh2000,#8A2BE2,"hey now frost"
3649,nogamesensetv,#FF69B4,"people do this part 1 player?"
3653,nogamesensetv,#FF69B4,"interesting"
3666,0dronzer,#5F9EA0,"being gay saves you about 20 seconds per level"
3742,violaguy32,#DAA520,"It's pronounced /ˈtæntɪˌvi/, not /ˈtæntɪv/."
3751,chesterthemouse2,#1E90FF,"the hero we needed"
3757,lasertrap_,#1E90FF,"I live with women 😔"
3757,flaming_lazer,#8A2BE2,"@violaguy32 ohhhhh"
3780,lasertrap_,#1E90FF,"Omg pronouns on stream it's here"
3828,tfresh2000,#8A2BE2,"what"
3835,tfresh2000,#8A2BE2,"what does that mean viola"
3836,0dronzer,#5F9EA0,"does lego star wars is wok"
3854,catnamedpoptart24,#8A2BE2,"yes"
3881,violaguy32,#DAA520,"I'm saying it's the oppisite."
3888,violaguy32,#DAA520,"of what you just now said"
3941,lunaraes_,#0000FF,"i would hate to do this on keyboard"
3959,0dronzer,#5F9EA0,"i've never seen this before"
3985,chesterthemouse2,#1E90FF,"ad at the best part wtttfff bro"
4006,frostxbytex,#1E90FF,"yahootles"
4021,0dronzer,#5F9EA0,"why is the ad blocker not working"
4037,tfresh2000,#8A2BE2,"what"
